CUPS,new world sparrow sp.
SWLI,new world sparrow sp.
SFHS,new world sparrow sp.
HSSP,new world sparrow sp.
DESP,new world sparrow sp.
CCBRS,new world sparrow sp.
SBUF,new world warbler sp.
DEWA,new world warbler sp.
ZEEP,new world warbler sp.
DBUP,new world warbler sp.
BZWA,new world warbler sp.
MWAR,new world warbler sp.
BUNT,passerine sp.
TANA,passerine sp.
GROS,passerine sp.
THSH,thrush sp.
GCBI,thrush sp.
WITH,thrush sp.
BLUEB,bluebird sp.
Icteridae,blackbird sp.
Parulidae,new world warbler sp.
Passeriformes,passerine sp.
Turdidae,Turdus sp.
Ardeidae,heron sp.
Charadriiformes,shorebird sp.
Cuculidae,cuckoo sp.
Passerellidae,new world sparrow sp.
Cardinalidae,passerine sp.
Charadriidae,plover sp.
Regulidae,Ruby-Crowned/Golden-crowned Kinglet
Scolopacidae,scolopacidae sp.
Motacillidae,wagtail sp.
Calcariidae,longspur sp.
Sittidae,nuthatch sp.
Laridae,larus sp.
Corvidae,corvid sp.
Recurvirostridae,stilt/avocet sp.
Alaudidae,lark sp.
Bombycillidae,Bohemian/Cedar Waxwing
Haematopodidae,oystercatcher sp.
Pelecaniformes,pelican sp.
Cuculiformes,cuckoo sp.
